"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"Pacific eSports","Jungle",3,"0%",,2,12,8,0.8,"47.6%","9.5%","26.1%",,,,,2.8,,,,,73,"16.2%",,,,
,"unknown team","Jungle",3,"33%",,3,9,11,1.6,"42.4%","9.1%","23.7%",,,,,2.4,,,,,100,"13.5%",,,,
,"unknown team","Middle",2,"50%",,13,2,7,10,"74.1%","48.1%","9.1%",,,,,5.8,,,,,196,"21.9%",,,,
,"unknown team","Support",3,"33%",,2,6,14,2.7,"48.5%","6.1%","15.8%",,,,,0.6,,,,,88,"11.4%",,,,
,"Pacific eSports","Support",3,"0%",,2,8,11,1.6,"61.9%","9.5%","17.4%",,,,,0.2,,,,,50,"10.6%",,,,
,"unknown team","Top",1,"0%",,1,5,1,0.4,"33.3%","16.7%","31.3%",,,,,4.7,,,,,94,"17.0%",,,,
,"Pacific eSports","Top",3,"0%",,7,12,6,1.1,"61.9%","33.3%","26.1%",,,,,5.2,,,,,124,"26.9%",,,,
"Astarte","Pacific eSports","Middle",3,"0%",,3,6,6,1.5,"42.9%","14.3%","13.0%",,,,,4.9,,,,,100,"22.3%",,,,
"bigfatlp","Counter Logic Gaming","ADC",3,"33%",,6,10,12,1.8,"75.0%","25.0%","22.2%",,,,,5.7,,,,,142,"28.7%",,,,
"bigfatlp","Counter Logic Gaming","Middle",3,"67%",,9,5,20,5.8,"69.0%","21.4%","19.2%",,,,,5,,,,,164,"19.8%",,,,
"CandyPanda","Team gamed!de","ADC",5,"20%",,24,21,9,1.6,"80.5%","58.5%","24.4%",,,,,6.8,,,,,199,"32.0%",,,,
"Chaox","TSM","ADC",8,"63%",,49,24,36,3.5,"63.0%","36.3%","22.9%",,,,,6.7,,,,,228,"27.3%",,,,
"Chaox","TSM","Top",1,"0%",,2,2,2,2,"40.0%","20.0%","18.2%",,,,,6.2,,,,,157,"23.6%",,,,
"Chauster","Counter Logic Gaming","ADC",3,"67%",,10,4,9,4.8,"45.2%","23.8%","15.4%",,,,,6.7,,,,,199,"23.9%",,,,
"Chauster","Counter Logic Gaming","Top",3,"33%",,9,6,6,2.5,"62.5%","37.5%","13.3%",,,,,5.7,,,,,143,"25.7%",,,,
"Cyanide","Fnatic","Jungle",11,"73%",,27,27,114,5.2,"69.5%","13.3%","19.6%",,,,,2.9,,,,,147,"16.8%",,,,
"Dan Dinh","EPIK Gamer","Jungle",7,"43%",,12,27,77,3.3,"72.4%","9.8%","20.9%",,,,,2.6,,,,,133,"18.0%",,,,
"Doublelift","EPIK Gamer","ADC",2,"50%",,12,11,25,3.4,"68.5%","22.2%","25.0%",,,,,4.8,,,,,168,"21.2%",,,,
"Doublelift","EPIK Gamer","Support",5,"40%",,4,13,34,2.9,"55.1%","5.8%","15.3%",,,,,1.5,,,,,67,"7.6%",,,,
"Dyrus","EPIK Gamer","ADC",2,"50%",,2,4,6,2,"50.0%","12.5%","12.5%",,,,,6.2,,,,,172,"24.7%",,,,
"Dyrus","EPIK Gamer","Support",2,"50%",,0,6,38,6.3,"70.4%","0.0%","13.6%",,,,,0.5,,,,,51,"6.7%",,,,
"Dyrus","EPIK Gamer","Top",3,"33%",,10,9,28,4.2,"71.7%","18.9%","17.0%",,,,,5.8,,,,,198,"28.3%",,,,
"Elementz","Counter Logic Gaming","Middle",1,"0%",,0,4,2,0.5,"66.7%","0.0%","28.6%",,,,,4.6,,,,,81,"22.1%",,,,
"Elementz","Counter Logic Gaming","Support",5,"60%",,6,10,36,4.2,"66.7%","9.5%","17.5%",,,,,0.9,,,,,77,"8.9%",,,,
"HotshotGG","Counter Logic Gaming","Middle",2,"50%",,3,7,12,2.1,"71.4%","14.3%","22.6%",,,,,5.2,,,,,129,"21.7%",,,,
"HotshotGG","Counter Logic Gaming","Support",1,"0%",,0,2,1,0.5,"33.3%","0.0%","14.3%",,,,,0.6,,,,,9,"2.5%",,,,
"HotshotGG","Counter Logic Gaming","Top",3,"67%",,8,7,10,2.6,"42.9%","19.0%","26.9%",,,,,6.8,,,,,209,"24.6%",,,,
"Kev1n","Team gamed!de","Middle",3,"0%",,4,8,2,0.8,"42.9%","28.6%","14.0%",,,,,6.1,,,,,125,"26.8%",,,,
"Kev1n","Team gamed!de","Top",2,"50%",,3,5,8,2.2,"40.7%","11.1%","17.2%",,,,,5.7,,,,,154,"20.6%",,,,
"Kujaa","against All authority","Support",12,"58%",,3,31,100,3.3,"61.7%","1.8%","17.1%",,,,,0.3,,,,,76,"9.5%",,,,
"LaMiaZeaLoT","Fnatic","ADC",11,"73%",,57,20,74,6.6,"64.5%","28.1%","14.5%",,,,,6.4,,,,,222,"25.4%",,,,
"Linak","against All authority","Jungle",12,"58%",,21,43,92,2.6,"67.7%","12.6%","23.8%",,,,,2.9,,,,,138,"17.7%",,,,
"Mellisan","Fnatic","Support",11,"73%",,7,23,130,6,"67.5%","3.4%","16.7%",,,,,0.5,,,,,98,"10.9%",,,,
"MoMa","against All authority","Middle",9,"67%",,40,19,50,4.7,"75.6%","33.6%","15.2%",,,,,6.4,,,,,198,"25.2%",,,,
"MoMa","against All authority","Top",3,"33%",,10,14,17,1.9,"56.3%","20.8%","25.0%",,,,,5.2,,,,,149,"19.8%",,,,
"Nyph","Team gamed!de","Support",5,"20%",,1,14,30,2.2,"75.6%","2.4%","16.3%",,,,,0.5,,,,,85,"13.3%",,,,
"ReginaId","TSM","Middle",9,"56%",,36,35,55,2.6,"62.8%","24.8%","30.2%",,,,,5.3,,,,,176,"22.3%",,,,
"Reyk","Team gamed!de","Middle",2,"50%",,2,6,11,2.2,"48.1%","7.4%","20.7%",,,,,4.5,,,,,118,"15.5%",,,,
"Reyk","Team gamed!de","Top",3,"0%",,2,9,6,0.9,"57.1%","14.3%","15.8%",,,,,4.3,,,,,83,"17.6%",,,,
"Saintvicious","Counter Logic Gaming","Jungle",6,"50%",,15,16,30,2.8,"68.2%","22.7%","22.5%",,,,,3.1,,,,,135,"19.8%",,,,
"Salce","EPIK Gamer","Middle",7,"43%",,41,26,46,3.3,"70.7%","33.3%","20.2%",,,,,5.7,,,,,189,"24.9%",,,,
"Shushei","Fnatic","Middle",4,"75%",,27,9,31,6.4,"78.4%","36.5%","16.7%",,,,,6.2,,,,,209,"25.6%",,,,
"Shushei","Fnatic","Top",7,"71%",,42,16,58,6.3,"77.5%","32.6%","19.0%",,,,,6.3,,,,,222,"24.3%",,,,
"sOAZ","against All authority","ADC",1,"100%",,1,4,9,2.5,"90.9%","9.1%","40.0%",,,,,5.5,,,,,190,"20.6%",,,,
"sOAZ","against All authority","Middle",3,"33%",,11,13,24,2.7,"72.9%","22.9%","23.2%",,,,,5.1,,,,,154,"20.4%",,,,
"sOAZ","against All authority","Top",8,"63%",,36,18,52,4.9,"81.5%","33.3%","15.7%",,,,,5.6,,,,,176,"22.8%",,,,
"The Rain Man","TSM","ADC",1,"0%",,4,4,4,2,"80.0%","40.0%","36.4%",,,,,5,,,,,151,"22.7%",,,,
"The Rain Man","TSM","Top",8,"63%",,32,12,63,7.9,"70.4%","23.7%","11.4%",,,,,4.9,,,,,213,"24.7%",,,,
"TheOddOne","TSM","Jungle",9,"56%",,15,16,74,5.6,"61.4%","10.3%","13.8%",,,,,3.1,,,,,131,"16.6%",,,,
"Vech","unknown team","Middle",1,"0%",,2,3,0,0.7,"33.3%","33.3%","18.8%",,,,,6,,,,,140,"25.3%",,,,
"Vech","unknown team","Top",2,"50%",,3,4,13,4,"59.3%","11.1%","18.2%",,,,,7.8,,,,,246,"29.0%",,,,
"VYY","Pacific eSports","ADC",3,"0%",,7,8,9,2,"76.2%","33.3%","17.4%",,,,,3.8,,,,,105,"24.0%",,,,
"Westrice","EPIK Gamer","ADC",3,"33%",,20,12,17,3.1,"69.8%","37.7%","22.6%",,,,,6.3,,,,,204,"24.7%",,,,
"Westrice","EPIK Gamer","Top",4,"50%",,22,21,24,2.2,"65.7%","31.4%","27.6%",,,,,5.7,,,,,188,"24.4%",,,,
"wewillfailer","Fnatic","Middle",1,"0%",,2,6,8,1.7,"55.6%","11.1%","25.0%",,,,,4.6,,,,,129,"16.5%",,,,
"wewillfailer","Fnatic","Top",2,"50%",,4,8,11,1.9,"48.4%","12.9%","36.4%",,,,,5.6,,,,,152,"20.8%",,,,
"Xpecial","TSM","Support",9,"56%",,7,23,72,3.4,"54.5%","4.8%","19.8%",,,,,0.6,,,,,84,"9.8%",,,,
"xPeke","Fnatic","Middle",6,"83%",,29,17,51,4.7,"72.1%","26.1%","28.3%",,,,,6.1,,,,,211,"23.1%",,,,
"xPeke","Fnatic","Top",2,"100%",,8,12,20,2.3,"65.1%","18.6%","37.5%",,,,,5.9,,,,,200,"23.4%",,,,
"YellOwStaR","against All authority","ADC",11,"55%",,43,39,56,2.5,"63.5%","27.6%","22.8%",,,,,6.9,,,,,210,"27.1%",,,,
"YellOwStaR","against All authority","Top",1,"100%",,2,0,6,8,"72.7%","18.2%","0.0%",,,,,7.5,,,,,231,"25.1%",,,,
"Zappy","unknown team","ADC",3,"33%",,9,9,8,1.9,"51.5%","27.3%","23.7%",,,,,7.6,,,,,204,"27.1%",,,,
"Zylor","Team gamed!de","Jungle",5,"20%",,5,23,21,1.1,"63.4%","12.2%","26.7%",,,,,3.2,,,,,84,"13.6%",,,,
