"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ssong","NaJin Black Sword","Middle",7,"43%",,30,20,36,3.3,"62.9%","28.6%","22.5%",,,,,7.2,,,,,205,"23.5%",,,,
"Stanley","Taipei Assassins","Top",18,"78%",,56,30,124,6,"67.7%","21.1%","16.3%",,,,,6.6,,,,,226,"22.9%",,,,
"TheOddOne","TSM","Jungle",4,"0%",,12,10,20,3.2,"61.5%","23.1%","14.3%",,,,,3.1,,,,,105,"15.8%",,,,
"Toyz","Taipei Assassins","Middle",18,"78%",,74,22,120,8.8,"72.9%","27.8%","12.0%",,,,,9.2,,,,,258,"26.4%",,,,
"Violet","Saigon Jokers","Jungle",3,"33%",,5,7,16,3,"65.6%","15.6%","20.0%",,,,,3.9,,,,,138,"16.5%",,,,
"Voyboy","Counter Logic Gaming","Top",3,"33%",,2,8,13,1.9,"75.0%","10.0%","20.5%",,,,,5.4,,,,,139,"20.4%",,,,
"Watch","NaJin Black Sword","Jungle",7,"43%",,8,13,60,5.2,"64.8%","7.6%","14.6%",,,,,3,,,,,128,"14.5%",,,,
"WeiXiao","Team WE","ADC",6,"33%",,28,10,46,7.4,"74.0%","28.0%","11.4%",,,,,8.7,,,,,247,"28.0%",,,,
"Wickd","Counter Logic Gaming Europe","Top",15,"53%",,32,52,87,2.3,"71.3%","19.2%","25.1%",,,,,5.9,,,,,164,"20.6%",,,,
"Woong","Azubu Frost","ADC",21,"62%",,70,58,149,3.8,"76.8%","24.6%","20.8%",,,,,7.2,,,,,214,"23.4%",,,,
"XiaoXiao","Invictus Gaming","Support",7,"29%",,3,38,54,1.5,"50.9%","2.7%","29.7%",,,,,0.3,,,,,69,"8.4%",,,,
"Xpecial","TSM","Support",4,"0%",,0,14,38,2.7,"73.1%","0.0%","20.0%",,,,,0.3,,,,,51,"7.6%",,,,
"yellowpete","Counter Logic Gaming Europe","ADC",15,"53%",,41,34,77,3.5,"70.7%","24.6%","16.4%",,,,,6.9,,,,,188,"24.5%",,,,
"YellOwStaR","SK Gaming","ADC",3,"0%",,8,7,4,1.7,"75.0%","50.0%","20.6%",,,,,7.7,,,,,188,"28.7%",,,,
"Zz1tai","Invictus Gaming","Middle",7,"29%",,37,25,38,3,"67.0%","33.0%","19.5%",,,,,7,,,,,204,"25.4%",,,,
