"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Alex Ich","Moscow 5","Middle",10,"60%",,44,24,74,4.9,"74.7%","27.8%","18.2%",,,,,7.6,,,,,217,"26.8%",,,,
"Araneae","SK Gaming","Jungle",3,"0%",,0,7,5,0.7,"31.3%","0.0%","20.6%",,,,,3.2,,,,,80,"11.5%",,,,
"Archie","Saigon Jokers","ADC",3,"33%",,11,8,15,3.3,"81.3%","34.4%","22.9%",,,,,7.3,,,,,212,"26.4%",,,,
"BeBe","Taipei Assassins","ADC",18,"78%",,100,38,114,5.6,"80.5%","37.6%","20.7%",,,,,8.1,,,,,255,"26.4%",,,,
"bigfatlp","Counter Logic Gaming","Middle",3,"33%",,11,7,5,2.3,"80.0%","55.0%","17.9%",,,,,6.9,,,,,184,"26.1%",,,,
"Cain","NaJin Black Sword","Support",7,"43%",,7,15,74,5.4,"77.1%","6.7%","16.9%",,,,,0.6,,,,,122,"13.0%",,,,
"CaoMei","Team WE","Top",6,"33%",,14,14,48,4.4,"62.0%","14.0%","15.9%",,,,,5.3,,,,,175,"19.7%",,,,
"Chaox","TSM","ADC",4,"0%",,10,16,26,2.3,"69.2%","19.2%","22.9%",,,,,7.1,,,,,173,"25.4%",,,,
"Chauster","Counter Logic Gaming","Support",3,"33%",,2,6,6,1.3,"40.0%","10.0%","15.4%",,,,,0.9,,,,,77,"10.6%",,,,
"Clearlove","Team WE","Jungle",6,"33%",,18,24,60,3.3,"78.0%","18.0%","27.3%",,,,,3.4,,,,,137,"15.2%",,,,
"CloudTemplar","Azubu Frost","Jungle",21,"62%",,40,54,162,3.7,"70.9%","14.0%","19.4%",,,,,4,,,,,162,"17.7%",,,,
"Crumbz","Dignitas","Top",3,"0%",,5,17,9,0.8,"53.8%","19.2%","24.6%",,,,,5.8,,,,,155,"23.2%",,,,
"Darien","Moscow 5","Top",10,"60%",,36,28,66,3.6,"64.6%","22.8%","21.2%",,,,,5.9,,,,,171,"21.0%",,,,
"Diamondprox","Moscow 5","Jungle",10,"60%",,24,26,88,4.3,"70.9%","15.2%","19.7%",,,,,4.1,,,,,138,"16.9%",,,,
"Doublelift","Counter Logic Gaming","ADC",3,"33%",,3,10,8,1.1,"55.0%","15.0%","25.6%",,,,,8.5,,,,,198,"28.2%",,,,
"Dyrus","TSM","Top",4,"0%",,12,16,20,2,"61.5%","23.1%","22.9%",,,,,5.7,,,,,142,"21.3%",,,,
"Edward","Moscow 5","Support",10,"60%",,4,32,108,3.5,"70.9%","2.5%","24.2%",,,,,0.7,,,,,87,"10.2%",,,,
"Froggen","Counter Logic Gaming Europe","Middle",15,"53%",,59,40,83,3.6,"85.0%","35.3%","19.3%",,,,,8,,,,,217,"28.2%",,,,
"FZZF","Team WE","Support",6,"33%",,10,22,54,2.9,"64.0%","10.0%","25.0%",,,,,0.3,,,,,102,"11.6%",,,,
"Genja","Moscow 5","ADC",10,"60%",,50,22,62,5.1,"70.9%","31.6%","16.7%",,,,,6.9,,,,,206,"25.0%",,,,
"HotshotGG","Counter Logic Gaming","Jungle",3,"33%",,2,8,8,1.3,"50.0%","10.0%","20.5%",,,,,3.8,,,,,101,"14.7%",,,,
"illuSioN","Invictus Gaming","Jungle",7,"29%",,14,21,63,3.7,"68.8%","12.5%","16.4%",,,,,4.1,,,,,143,"17.3%",,,,
"Imaqtpie","Dignitas","ADC",3,"0%",,6,14,12,1.3,"69.2%","23.1%","20.3%",,,,,6.8,,,,,158,"23.4%",,,,
"IWDominate","Dignitas","Jungle",3,"0%",,3,13,12,1.2,"57.7%","11.5%","18.8%",,,,,4.4,,,,,126,"19.8%",,,,
"Junie","Saigon Jokers","Support",3,"33%",,3,4,16,4.8,"59.4%","9.4%","11.4%",,,,,1,,,,,103,"11.5%",,,,
"Kev1n","SK Gaming","Top",3,"0%",,3,6,4,1.2,"43.8%","18.8%","17.6%",,,,,6.9,,,,,149,"22.8%",,,,
"Kid","Invictus Gaming","ADC",7,"29%",,38,19,43,4.3,"72.3%","33.9%","14.8%",,,,,6.5,,,,,202,"24.7%",,,,
"Krepo","Counter Logic Gaming Europe","Support",15,"53%",,17,39,109,3.2,"75.4%","10.2%","18.8%",,,,,0.5,,,,,91,"10.6%",,,,
"Lilballz","Taipei Assassins","Jungle",18,"78%",,22,38,150,4.5,"64.7%","8.3%","20.7%",,,,,3.4,,,,,140,"14.2%",,,,
"MadLife","Azubu Frost","Support",21,"62%",,20,54,196,4,"75.8%","7.0%","19.4%",,,,,0.9,,,,,120,"12.4%",,,,
"MakNooN","NaJin Black Sword","Top",7,"43%",,28,19,42,3.7,"66.7%","26.7%","21.3%",,,,,6.8,,,,,197,"22.5%",,,,
"Misaya","Team WE","Middle",6,"33%",,30,18,40,3.9,"70.0%","30.0%","20.5%",,,,,7.8,,,,,220,"25.4%",,,,
"MiSTakE","Taipei Assassins","Support",18,"78%",,14,56,162,3.1,"66.2%","5.3%","30.4%",,,,,0.7,,,,,102,"10.0%",,,,
"Nixwater","Saigon Jokers","Middle",3,"33%",,8,6,12,3.3,"62.5%","25.0%","17.1%",,,,,7.8,,,,,202,"25.8%",,,,
"Nyph","SK Gaming","Support",3,"0%",,3,7,9,1.7,"75.0%","18.8%","20.6%",,,,,0.6,,,,,83,"12.0%",,,,
"ocelote","SK Gaming","Middle",3,"0%",,2,7,5,1,"43.8%","12.5%","20.6%",,,,,7.3,,,,,166,"25.0%",,,,
"Patoy","Dignitas","Support",3,"0%",,2,11,16,1.6,"69.2%","7.7%","15.9%",,,,,0.6,,,,,73,"11.0%",,,,
"PDD","Invictus Gaming","Top",7,"29%",,20,25,51,2.8,"63.4%","17.9%","19.5%",,,,,6.9,,,,,191,"24.2%",,,,
"PraY","NaJin Black Sword","ADC",7,"43%",,32,22,39,3.2,"67.6%","30.5%","24.7%",,,,,7.7,,,,,226,"26.4%",,,,
"QTV","Saigon Jokers","Top",3,"33%",,5,10,16,2.1,"65.6%","15.6%","28.6%",,,,,5.4,,,,,152,"19.8%",,,,
"RapidStar","Azubu Frost","Middle",21,"62%",,81,52,129,4,"73.7%","28.4%","18.6%",,,,,7.3,,,,,214,"23.9%",,,,
"ReginaId","TSM","Middle",4,"0%",,18,14,26,3.1,"84.6%","34.6%","20.0%",,,,,7.8,,,,,202,"30.0%",,,,
"scarra","Dignitas","Middle",3,"0%",,10,14,8,1.3,"69.2%","38.5%","20.3%",,,,,6.1,,,,,154,"22.6%",,,,
"Shy","Azubu Frost","Top",21,"62%",,74,61,93,2.7,"58.6%","26.0%","21.9%",,,,,7,,,,,204,"22.7%",,,,
"Snoopeh","Counter Logic Gaming Europe","Jungle",15,"53%",,18,42,92,2.6,"65.9%","10.8%","20.3%",,,,,2.8,,,,,129,"16.1%",,,,
