"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Winds","Gamania Bears","Jungle",2,"0%",,4,9,6,1.1,"76.9%","30.8%","18.8%",,,,,3.2,,,,,90,"16.5%",,,,
"Xmithie","Team Vulcun","Jungle",8,"38%",,14,25,43,2.3,"63.3%","15.6%","22.1%",,,,,3.2,,,,,131,"14.3%",,,,
"Xpecial","TSM","Support",7,"29%",,7,31,65,2.3,"69.9%","6.8%","20.0%",,,,,0.9,,,,,93,"11.0%",,,,
"Xpecial","TSM","Top",1,"0%",,1,5,4,1,"31.3%","6.3%","20.0%",,,,,6.3,,,,,139,"16.9%",,,,
"xPeke","Fnatic","Middle",15,"67%",,103,36,121,6.2,"68.1%","31.3%","22.6%",,,,,7.9,,,,,272,"27.4%",,,,
"YellOwStaR","Fnatic","Support",14,"64%",,27,29,146,6,"59.2%","9.2%","19.7%",,,,,1.1,,,,,104,"10.6%",,,,
"YellOwStaR","Fnatic","Top",1,"100%",,3,0,17,20,"54.1%","8.1%","0.0%",,,,,7.5,,,,,289,"21.0%",,,,
"Yume","Mineski","Middle",8,"0%",,15,39,26,1.1,"57.7%","21.1%","20.1%",,,,,6.8,,,,,162,"25.1%",,,,
"Zorozero","Lemondogs","Top",8,"38%",,18,18,48,3.7,"64.1%","17.5%","18.0%",,,,,6.4,,,,,184,"22.2%",,,,
"Zuna","Team Vulcun","ADC",8,"38%",,26,23,34,2.6,"66.7%","28.9%","20.4%",,,,,6.8,,,,,214,"24.8%",,,,
